gene	isoform_id	transcript_id	GABA_pct	GABA_mean	other_pct	other_mean	logFC	n_GABA_detected	GABA_1_pct	GABA_1_mean	GABA_2_pct	GABA_2_mean	editsC_GABA_mean	editsC_GABA_pct	editsC_is_translated	DE_baseMean	DE_log2FC	DE_lfcSE	DE_stat	DE_pvalue	DE_padj	biotype	go_bp	syngo_quick
5330434G04Rik	5330434G04Rik-202	ENSMUST00000136406	21.2301587301587	1.53916106084076	2.4122937637739	0.17136223397541	3.16701562615498	214	24.3436754176611	1.65430914187777	19.0152801358234	1.45724757025586	3.46187919772086e-05	1.38888888888889	FALSE	231.026066655792	2.42165505398236	1.2685144392126	1.90904807948859	0.0562558896286167	0.4022233267222	lincRNA		FALSE
Adarb2	Adarb2-206	ENSMUST00000223223	19.8412698412698	1.57029835927452	2.29316814580976	0.175072869563789	3.16500394106586	200	22.9116945107399	1.7116168625547	17.6570458404075	1.46976787901239	3.67909969003245e-05	3.37301587301587	FALSE	244.01131026487	2.63839528070479	2.14414074987607	1.23051403265261			retained_intron	RNA processing; mRNA processing; adenosine to inosine editing	FALSE
Nrxn3	Nrxn3-202	ENSMUST00000110130	11.6071428571429	0.812715740230987	1.42355113467151	0.0971470547056765	3.06449559834501	117	20.2863961813843	1.35555508762684	5.43293718166384	0.426553284273664	4.32962714192403e-05	2.48015873015873	FALSE	128.652905162136	2.66030085011216	1.42474589996651	1.86721074275398	0.0618721639997401	0.413870755132847	protein_coding	regulation of biological quality; cell adhesion; neurotransmitter secretion	TRUE
Mir124-2hg	Mir124-2hg-201	ENSMUST00000185804	20.2380952380952	1.4475709020896	2.45994401095956	0.174043220861292	3.05610919456838	204	29.8329355608592	2.0443894566046	13.4125636672326	1.02300897621221	1.62134943340006e-05	0.892857142857143	FALSE	174.675605731947	3.08839715715182	1.55521923267699	1.98582752338766	0.0470524785248452	0.376372331207101	lincRNA	sensory perception of sound; long-term synaptic potentiation; miRNA-mediated post-transcriptional gene silencing	FALSE
L1cam	L1cam-203	ENSMUST00000114430	10.1190476190476	0.701036014903931	1.22699386503067	0.0848828330948004	3.04592891031229	102	18.854415274463	1.2737531246009	3.90492359932088	0.293619259448868	3.55199579817994e-05	1.88492063492064	FALSE	110.3374139041	2.17915828041106	1.70346886598281	1.27924749546497	0.200809915359525	0.654007359989747	protein_coding	nervous system development; cell adhesion; cell differentiation	FALSE
A230057D06Rik	A230057D06Rik-201	ENSMUST00000207061	13.0952380952381	0.972943605071481	1.70945261778545	0.119135289371092	3.02974473642442	132	10.0238663484487	0.67149413817173	15.2801358234295	1.18738728356214	1.45720443044505e-05	0.595238095238095	FALSE	137.443100560078	2.77893246508685	1.09211110973692	2.54455104458763	0.0109418318163908	0.18292421668036	lincRNA	miRNA-mediated post-transcriptional gene silencing; biological_process	FALSE
Nrsn2	Nrsn2-201	ENSMUST00000079278	18.0555555555556	1.30767473224434	2.34081839299541	0.162111899249298	3.01193404121907	182	39.618138424821	2.85633386981345	2.71646859083192	0.205997009593306	0.00027443690855406	5.8531746031746	TRUE	189.383416267023	2.70400388812262	1.39173641354988	1.94289943253374	0.0520283105215294	0.390786760534162	protein_coding	nervous system development	FALSE
Kcnc1	Kcnc1-201	ENSMUST00000025202	23.8095238095238	1.76130705240375	3.03770325808565	0.221801693465821	2.9892984681763	240	32.9355608591885	2.3320914800894	17.3174872665535	1.35526515902465	2.80662029043251e-05	3.67063492063492	FALSE	325.693432581782	2.21359419482312	1.12177073702693	1.97330356529882	0.0484609869735039	0.381544953777306	protein_coding	monoatomic ion transport; transmembrane transport; potassium ion transport	FALSE
Snhg11	Snhg11-202	ENSMUST00000137320	19.8412698412698	1.41946431714274	2.63267615700756	0.184951346292307	2.9401220914292	200	30.0715990453461	2.05755899926723	12.5636672325976	0.965539577227363	4.6017576131042e-05	1.58730158730159	FALSE	253.889006500974	2.28854637113057	1.85832455248774	1.23151059273629	0.218131957333933	0.674313233682398	retained_intron		FALSE
Nrsn1	Nrsn1-201	ENSMUST00000057866	13.2936507936508	0.954251388640435	1.81070939305498	0.125823990076246	2.92295240868266	134	21.9570405727924	1.51100025611337	7.13073005093379	0.558194044886345	0.000314587833004279	3.96825396825397	FALSE	163.464233140263	2.38545990701123	1.07192435947841	2.22539947517562	0.0260544327470136	0.28828104861594	protein_coding	nervous system development	FALSE
Cacng2	Cacng2-201	ENSMUST00000019290	20.2380952380952	1.43959289979664	2.68628268509143	0.191860753486987	2.90752284151475	204	35.0835322195704	2.39863346256861	9.67741935483871	0.75735521592321	3.48343011483989e-05	2.87698412698413	FALSE	277.64631874064	1.97063379731524	1.29509862692798	1.52160905458579	0.128107067425289	0.553060897478391	protein_coding	calcium ion transport; calcium ion transmembrane transport; monoatomic ion transport	FALSE
Grin1	Grin1-214	ENSMUST00000155627	11.1111111111111	0.840524760768093	1.52480790994103	0.115642744549495	2.86160480721862	112	6.92124105011933	0.461970871311557	14.0916808149406	1.1098186142185	9.88769307497461e-06	0.892857142857143	FALSE	191.891552525256	1.64498257332829	2.22861741463768	0.738117975083543	0.460442761618429	0.832378166844734	processed_transcript	monoatomic ion transport; monoatomic ion transmembrane transport; calcium ion transmembrane transport	TRUE
Grm1	Grm1-201	ENSMUST00000044306	10.0198412698413	0.694572617333937	1.32229435940199	0.0958373923429876	2.85745199975513	101	19.3317422434368	1.30945781811982	3.3955857385399	0.257158527131419	1.63569164651943e-05	0.992063492063492	FALSE	129.218660217338	1.85800298217214	1.36330145953664	1.3628702362012	0.172923410545703	0.61935989708103	protein_coding	G protein-coupled receptor signaling pathway; regulation of postsynaptic membrane potential; regulation of membrane potential	FALSE
Cadps	Cadps-209	ENSMUST00000224704	15.6746031746032	1.1337537439048	2.19786765143844	0.158180440946713	2.84145634048721	158	17.1837708830549	1.1497500850491	14.6010186757216	1.12237434332847	3.86125816423066e-05	2.08333333333333	FALSE	233.218749760047	1.84070283387003	1.30280854321529	1.41287286106309	0.15769311003139	0.599618978431273	retained_intron	protein transport; exocytosis; synaptic vesicle exocytosis	FALSE
Serpini1	Serpini1-201	ENSMUST00000029423	15.2777777777778	1.13865196277989	2.34081839299541	0.160826162798679	2.82374511600992	154	27.9236276849642	2.04876053491711	6.28183361629881	0.491223284128791	0.0006510614487498	9.22619047619048	TRUE	184.757039783816	2.74237551451987	1.13351389447303	2.41935765224546			protein_coding		FALSE
Spock1	Spock1-204	ENSMUST00000186271	12.0039682539683	0.825747241565637	1.69754005598904	0.117051226034833	2.81854962119756	121	25.5369928400955	1.7400093162152	2.37691001697793	0.175363864183352	1.91426932534114e-05	1.58730158730159	FALSE	145.047228047186	2.55146488000163	1.17900881523642	2.16407616892161	0.0304585041397448	0.307640380441996	protein_coding	negative regulation of cell-substrate adhesion; negative regulation of neuron projection development	FALSE
Meg3	Meg3-201	ENSMUST00000124106	32.1428571428572	2.42530175138358	4.657811662398	0.346255355809699	2.80825239233566	324	32.9355608591885	2.32799263987472	31.5789473684211	2.49452504123454	8.73895294265151e-06	3.17460317460317	FALSE	561.432326360979	1.51181604715342	1.91067164644587	0.79124848582205	0.428799002810367	0.818550190612302	lincRNA	negative regulation of cell growth; in utero embryonic development; post-embryonic development	FALSE
Gabrb2	Gabrb2-201	ENSMUST00000007797	11.7063492063492	0.812505395562975	1.64988980880338	0.117838797814607	2.78555230894017	118	21.0023866348449	1.40348804548213	5.09337860780985	0.39209498755597	3.70741508322262e-05	1.78571428571429	FALSE	136.176995144281	2.46049616316778	1.12998298827673	2.17746301377521	0.0294460385295287	0.302694819658966	protein_coding	monoatomic ion transport; monoatomic ion transmembrane transport; regulation of postsynaptic membrane potential	TRUE
Slc38a1	Slc38a1-203	ENSMUST00000100262	12.3015873015873	0.866306509260382	1.76901542676753	0.125923292442701	2.78232259815565	124	21.0023866348449	1.41452118956978	6.11205432937182	0.476320174710909	1.3152727717235e-05	2.38095238095238	FALSE	124.187934884068	2.73926697489793	1.10275636960304	2.48401827493773	0.0129909140992513	0.199439987993096	protein_coding	monoatomic ion transport; sodium ion transport; amino acid transport	FALSE
Cplx1	Cplx1-201	ENSMUST00000046892	16.765873015873	1.20000768899786	2.54333194353446	0.182776636657189	2.71488338347797	169	28.1622911694511	1.93893761093153	8.65874363327674	0.674351258963555	0.000441789675188727	5.15873015873016	TRUE	237.290873804944	1.97776076510114	0.97390580763609	2.03075158767321	0.0422802003076755	0.356609951710576	protein_coding	neurotransmitter transport; exocytosis; synaptic vesicle exocytosis	FALSE
Ube3a	Ube3a-215	ENSMUST00000202776	16.0714285714286	1.1499298726711	2.50163797724701	0.178492984698938	2.68759977619563	162	18.1384248210024	1.20478118651515	14.6010186757216	1.11091000764452	3.72329741062028e-05	0.793650793650794	FALSE	227.933875498581	1.74159219498165	0.943024852946017	1.84681473615558	0.0647739954020197	0.419008351138005	retained_intron	ubiquitin-dependent protein catabolic process; protein polyubiquitination; positive regulation of transcription by RNA polymerase II	FALSE
Kcnd3	Kcnd3-202	ENSMUST00000098761	13.3928571428571	0.946375932701714	2.06087319077968	0.15389790542111	2.62043193860149	135	21.0023866348449	1.41209549503119	7.97962648556876	0.615074580212666	3.02598639882272e-05	2.18253968253968	FALSE	207.433551609194	1.75427436896098	1.12029679648872	1.56590144188514	0.117371692257036	0.533132343122786	protein_coding	monoatomic ion transport; transmembrane transport; potassium ion transport	FALSE
Grk3	Grk3-201	ENSMUST00000065167	12.8968253968254	0.909578884974139	2.06682947167788	0.149297251767989	2.60700307781016	130	16.7064439140811	1.08902060364497	10.1867572156197	0.781928494272818	7.37617615743342e-06	0.694444444444445	FALSE	148.968462767445	2.1997495861838	1.34739834173663	1.63259039145661	0.102555173426818	0.50810572017792	protein_coding	signal transduction; protein phosphorylation; G protein-coupled receptor signaling pathway	FALSE
Kalrn	Kalrn-212	ENSMUST00000114973	11.1111111111111	0.782184448625627	1.78092798856394	0.132112933099861	2.56572807195906	112	16.7064439140811	1.12237859570004	7.13073005093379	0.540178765053165	8.78663562905624e-06	1.28968253968254	FALSE	172.187806263328	1.6199521086477	1.38156349904739	1.17254987538733	0.240976360177975	0.694531003761964	protein_coding	protein phosphorylation; regulation of dendrite development; adult locomotory behavior	FALSE
Dlg2	Dlg2-211	ENSMUST00000207095	13.8888888888889	0.987495758861136	2.38846864018107	0.167399943089202	2.56046835736098	140	23.6276849642005	1.61727563784734	6.96095076400679	0.539485963792849	4.20343082629658e-05	0.892857142857143	FALSE	193.428366570349	2.09373340375605	1.36384429984597	1.53517040324362	0.124741976313427	0.546719582802198	retained_intron	chemical synaptic transmission; sensory perception of pain; cell-cell adhesion	FALSE
Nrxn3	Nrxn3-204	ENSMUST00000110138	12.3015873015873	0.885573240030929	2.12043599976175	0.150243954590843	2.55929671270069	124	18.3770883054893	1.26770502071035	7.97962648556876	0.613734163452527	1.88092374801829e-05	0.892857142857143	FALSE	212.797343746844	1.77967086610972	1.67714865317391	1.06112887652611	0.288631336328732	0.732888487698339	retained_intron	regulation of biological quality; cell adhesion; neurotransmitter secretion	TRUE
Slc6a17	Slc6a17-206	ENSMUST00000168211	13.6904761904762	0.96306458155443	2.30508070760617	0.164415676159591	2.55027741061046	138	26.7303102625298	1.83039054507736	4.41426146010187	0.346070390185829	1.95586911792508e-05	1.98412698412698	FALSE	210.822663804787	1.63309489230874	1.43485608235513	1.13815936830977	0.255053941627839	0.703575795801227	nonsense_mediated_decay	monoatomic ion transport; sodium ion transport; amino acid transport	FALSE
5330434G04Rik	5330434G04Rik-203	ENSMUST00000142109	12.5992063492064	0.905137888183453	2.2455178986241	0.154568601152857	2.54988256651079	127	13.6038186157518	0.89807739944035	11.8845500848896	0.910160544861484	1.30542053322149e-05	0.396825396825397	FALSE	159.217181180907	2.09494950896651	1.02257922481189	2.04869163985987	0.0404922772137126	0.348466926171986	lincRNA		FALSE
Gm38393	Gm38393-203	ENSMUST00000191456	17.7579365079365	1.28065877790749	3.09130978616952	0.222341257026852	2.52603318850023	179	19.8090692124105	1.32451178520816	16.2988115449915	1.24946283553232	6.03602356098677e-05	1.68650793650794	FALSE	257.122005027449	1.7943002429897	0.888305302829572	2.01991391616622	0.0433923175427059	0.362781258218053	processed_transcript		FALSE
Nrxn3	Nrxn3-205	ENSMUST00000163134	17.4603174603175	1.2589734786604	3.15682887604979	0.219507364873805	2.51990121456552	176	28.1622911694511	1.95269153375446	9.8471986417657	0.765479649994175	4.73295965815715e-05	4.06746031746032	FALSE	245.136428950718	1.98579635160222	1.39360264619557	1.42493727105305	0.154175334654918	0.595741292772526	protein_coding	regulation of biological quality; cell adhesion; neurotransmitter secretion	TRUE
Mef2c	Mef2c-209	ENSMUST00000196832	10.218253968254	0.734271526966119	1.73923402227649	0.129905990035591	2.4988365606889	103	13.126491646778	0.891751992266568	8.14940577249576	0.622243827541861	1.14296670993048e-05	0.396825396825397	FALSE	175.912915464898	1.76143688090052	1.18396785210032	1.48774046337136	0.136819352122659	0.572229439536647	retained_intron	positive regulation of transcription by RNA polymerase II; gene expression; cell proliferation in bone marrow	FALSE
Asph	Asph-217	ENSMUST00000146441	11.5079365079365	0.795303850572489	2.09065459527071	0.146712685565928	2.43850451696883	116	24.1050119331742	1.6367797748853	2.54668930390492	0.196698736332988	5.18838243601405e-05	2.38095238095238	FALSE	180.67834976305	1.87213994842627	1.22929232296742	1.52294121865747	0.127773412277003	0.552941606326083	protein_coding	peptidyl-amino acid modification; negative regulation of cell population proliferation; cell population proliferation	FALSE
Syngr3	Syngr3-201	ENSMUST00000007236	12.9960317460317	0.892483467026564	2.35868723569004	0.165037473940033	2.43502467417309	131	26.491646778043	1.78445387224417	3.3955857385399	0.257957830717267	0.000207115045881851	3.07539682539683	FALSE	174.338972060534	1.93637720495165	1.17908469156665	1.64227151688213	0.100533747219984	0.505141159990772	protein_coding	regulated exocytosis; positive regulation of transporter activity	FALSE
Ube3a	Ube3a-205	ENSMUST00000200949	19.9404761904762	1.45185352414147	3.76436952766692	0.269762816145749	2.4281281471265	201	19.5704057279236	1.2950979834314	20.2037351443124	1.56336553018139	2.87284820338987e-05	1.28968253968254	FALSE	325.061634656321	1.52847864981782	0.781681184107792	1.95537347053124	0.0505390050781233	0.386399215879545	retained_intron	ubiquitin-dependent protein catabolic process; protein polyubiquitination; positive regulation of transcription by RNA polymerase II	FALSE
Snap25	Snap25-203	ENSMUST00000125486	22.4206349206349	1.63142814172491	4.16939662874501	0.306633452988594	2.41154461757745	226	27.2076372315036	1.85555284689078	19.0152801358234	1.47199138202288	2.37530619344832e-05	1.28968253968254	FALSE	440.180321967857	1.29855855492933	1.92132650707221	0.67586563249373	0.499125959579476	0.847980149815837	retained_intron	long-term synaptic potentiation; insulin secretion; locomotory behavior	TRUE
Arl4c	Arl4c-202	ENSMUST00000159814	19.1468253968254	1.38290665180437	3.63333134790637	0.2614043198903	2.40334441200971	193	31.5035799522673	2.18831147240452	10.3565365025467	0.809961626623624	3.00082207241692e-05	2.38095238095238	FALSE	209.471532454871	2.81358855113679	1.13354535854244	2.48211377686255			protein_coding	intracellular protein transport	FALSE
Lingo2	Lingo2-209	ENSMUST00000145615	16.3690476190476	1.17074752573733	2.97218416820537	0.223204011389592	2.3909898973552	165	28.400954653938	1.98358772596268	7.80984719864177	0.59251315579773	2.17022576957853e-05	0.992063492063492	FALSE	258.686176534731	1.9995012753283	1.97590182142184	1.01194363690068	0.311565003331475	0.748374613869692	processed_transcript	regulation of nervous system development; positive regulation of synapse assembly	FALSE
Pfkp	Pfkp-212	ENSMUST00000151894	22.5198412698413	1.68257947383579	4.4076478646733	0.321290428941861	2.38872110736058	227	19.3317422434368	1.29226409935926	24.7877758913413	1.96024015618836	1.4492982243153e-05	2.18253968253968	FALSE	386.057948506053	1.70010097042608	0.901182799373835	1.88652177072993	0.0592246774959977	0.406843153179434	retained_intron	glycolytic process; fructose 6-phosphate metabolic process; cellular response to leukemia inhibitory factor	FALSE
Snhg11	Snhg11-205	ENSMUST00000149303	80.5555555555556	6.92376690121434	16.3440347846804	1.32489939950676	2.38567345549382	812	97.1360381861575	8.31718836774858	68.7606112054329	5.93252140974092	4.38262832543759e-05	18.75	TRUE	1638.25561863994	1.63773131924546	1.72144282995371	0.951371309432036	0.341415919344879	0.768173972033287	nonsense_mediated_decay		FALSE
Unc80	Unc80-201	ENSMUST00000061620	16.2698412698413	1.15063035094177	3.07344094347489	0.223050279053495	2.36697835843037	164	24.3436754176611	1.65394687887326	10.5263157894737	0.792583449068607	1.33953854703997e-05	2.08333333333333	FALSE	275.355960919301	1.25875728503893	1.52671941108013	0.824485020563386	0.409664023674048	0.809490917574353	protein_coding	monoatomic cation transmembrane transport; monoatomic cation homeostasis	FALSE
C230004F18Rik	C230004F18Rik-210	ENSMUST00000232525	34.2261904761905	2.53079427188267	6.5757341116207	0.495001680694637	2.354082562413	345	38.1861575178998	2.63917648523882	31.4091680814941	2.45369385185512	1.55229207898418e-05	3.57142857142857	FALSE	659.857810704254	1.22884649813384	1.62335656131621	0.756978797767939	0.449062564954788	0.828473559045266	lincRNA		FALSE
Snhg11	Snhg11-201	ENSMUST00000109488	91.5674603174603	8.43622889903405	19.637858121389	1.66362505162558	2.34226722889941	923	96.6587112171838	8.67806146148991	87.9456706281834	8.26419520859429	9.05549989108091e-05	41.6666666666667	TRUE	2185.40642783524	1.42008090095983	1.55822260270318	0.911346619216207	0.362112770183579	0.784220443029453	protein_coding		FALSE
Slc2a13	Slc2a13-202	ENSMUST00000109283	22.2222222222222	1.61157031018901	4.31234737030198	0.319973234415451	2.33244038399674	224	36.2768496420048	2.53207010693313	12.2241086587436	0.956749571927909	0.000149179095654212	5.75396825396825	TRUE	347.894523407632	1.81218048603443	1.32757741417942	1.3650281081006	0.172244215782017	0.618028105808383	protein_coding	transmembrane transport; myo-inositol transport; positive regulation of amyloid-beta formation	FALSE
Syngr1	Syngr1-201	ENSMUST00000009727	21.9246031746032	1.56302609666397	4.38382274108047	0.31041504851095	2.33206773723459	221	42.4821002386635	2.96114632686353	7.30050933786078	0.568438021190943	0.000140668975704834	6.0515873015873	TRUE	344.478252848907	1.75696995915562	1.06753697549496	1.64581649112529	0.0998015459986452	0.503146031638221	protein_coding	cellular response to leukemia inhibitory factor; regulated exocytosis; regulation of short-term neuronal synaptic plasticity	FALSE
Rims2	Rims2-211	ENSMUST00000228839	14.6825396825397	1.01857719148187	2.94240276371434	0.202845918223577	2.32809344399901	148	28.400954653938	1.93622809280753	4.92359932088285	0.365783086803689	1.84259793632506e-05	0.496031746031746	FALSE	191.086613480942	2.02434432919673	1.05026080110857	1.92746823175729	0.053921303444205	0.39675294164933	protein_coding	intracellular protein transport; exocytosis; insulin secretion	TRUE
Rab3c	Rab3c-201	ENSMUST00000167824	26.0912698412698	1.95257851818638	5.44404074096134	0.389214549000986	2.32674005140912	263	42.2434367541766	3.06054583553691	14.6010186757216	1.16439803266877	0.000121292136692751	10.3174603174603	TRUE	392.583581005169	1.83119807396172	1.07006871949389	1.71129016352128	0.0870275612879116	0.476148520152135	protein_coding	protein transport; intracellular protein transport; exocytosis	FALSE
